gen_id,seed,ply,k,phase,legal_n,score_margin_abs,meeples_free,converged,h3200_move,deep_move,deep_minus_shallow_immediate,rod1_matches_deep,mechanism,sub_mechanism,affects_winloss_guess
mp1925000089,1925000089,120,12,pre_endgame,41,4,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000040,1925000040,120,12,pre_endgame,45,21,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000033,1925000033,120,12,pre_endgame,33,49,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000018,1925000018,120,12,pre_endgame,109,16,"[0, 0]",True,tile_place,tile_place,-1,False,"tile placement (same phase, different square = blocking/conversion/tempo)",deep forgoes 1 completion pts this turn (positional / tempo / setup),possible W/L
mp1925000059,1925000059,120,12,pre_endgame,35,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000074,1925000074,120,12,pre_endgame,46,26,"[0, 1]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000077,1925000077,120,12,pre_endgame,32,25,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000039,1925000039,120,12,pre_endgame,60,10,"[0, 1]",True,tile_place,tile_place,-6,True,"tile placement (same phase, different square = blocking/conversion/tempo)",deep forgoes 6 completion pts this turn (positional / tempo / setup),possible W/L
mp1925000060,1925000060,116,14,pre_endgame,32,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000019,1925000019,116,14,pre_endgame,27,34,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000045,1925000045,116,14,pre_endgame,44,6,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000051,1925000051,116,14,pre_endgame,44,16,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000055,1925000055,115,14,pre_endgame,51,25,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000011,1925000011,116,14,pre_endgame,42,22,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000037,1925000037,116,14,pre_endgame,28,22,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000065,1925000065,116,14,pre_endgame,29,9,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000031,1925000031,108,18,late_mid,42,16,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000040,1925000040,108,18,late_mid,58,7,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000084,1925000084,108,18,late_mid,30,16,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000043,1925000043,108,18,late_mid,27,3,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000055,1925000055,107,18,late_mid,30,26,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000089,1925000089,108,18,late_mid,40,4,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000011,1925000011,108,18,late_mid,49,20,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000037,1925000037,108,18,late_mid,26,16,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000052,1925000052,108,18,late_mid,33,4,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000076,1925000076,108,18,late_mid,29,14,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000021,1925000021,108,18,late_mid,24,1,"[0, 1]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000028,1925000028,108,18,late_mid,31,1,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000081,1925000081,108,18,late_mid,26,12,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000028,1925000028,100,22,late_mid,22,2,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000009,1925000009,100,22,late_mid,76,9,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000069,1925000069,100,22,late_mid,44,38,"[2, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000010,1925000010,92,26,late_mid,34,7,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000026,1925000026,92,26,late_mid,21,8,"[1, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000036,1925000036,92,26,late_mid,23,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000044,1925000044,92,26,late_mid,42,7,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000054,1925000054,92,26,late_mid,72,18,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000002,1925000002,92,26,late_mid,16,9,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000070,1925000070,92,26,late_mid,35,0,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000020,1925000020,92,26,late_mid,80,16,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000085,1925000085,92,26,late_mid,52,18,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000075,1925000075,139,2,endgame,58,11,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000008,1925000008,140,2,endgame,45,6,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000049,1925000049,140,2,endgame,44,21,"[0, 0]",True,tile_place,tile_place,-9,False,"tile placement (same phase, different square = blocking/conversion/tempo)",deep forgoes 9 completion pts this turn (positional / tempo / setup),margin-only
mp1925000004,1925000004,140,2,endgame,49,42,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000078,1925000078,140,2,endgame,51,2,"[1, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000069,1925000069,140,2,endgame,42,57,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000045,1925000045,140,2,endgame,67,29,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000042,1925000042,140,2,endgame,46,14,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000080,1925000080,140,2,endgame,61,11,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000043,1925000043,138,3,endgame,112,6,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000086,1925000086,138,3,endgame,13,30,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000056,1925000056,137,3,endgame,30,12,"[0, 0]",True,tile_place,tile_place,-6,False,"tile placement (same phase, different square = blocking/conversion/tempo)",deep forgoes 6 completion pts this turn (positional / tempo / setup),margin-only
mp1925000004,1925000004,138,3,endgame,26,42,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000013,1925000013,138,3,endgame,36,26,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000052,1925000052,138,3,endgame,32,0,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000078,1925000078,138,3,endgame,25,2,"[1, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000040,1925000040,138,3,endgame,27,21,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000000,1925000000,137,3,endgame,21,21,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000034,1925000034,138,3,endgame,59,5,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000080,1925000080,136,4,endgame,55,11,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000050,1925000050,136,4,endgame,23,23,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000068,1925000068,136,4,endgame,37,1,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000049,1925000049,136,4,endgame,60,21,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000038,1925000038,136,4,endgame,120,21,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000030,1925000030,136,4,endgame,43,13,"[0, 1]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000041,1925000041,136,4,endgame,36,12,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000012,1925000012,136,4,endgame,44,14,"[0, 2]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000045,1925000045,136,4,endgame,33,19,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000015,1925000015,134,5,endgame,66,14,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000065,1925000065,134,5,endgame,38,9,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000089,1925000089,134,5,endgame,51,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000063,1925000063,134,5,endgame,47,13,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000016,1925000016,134,5,endgame,66,29,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000021,1925000021,134,5,endgame,34,1,"[0, 0]",True,tile_place,tile_place,7,False,"tile placement (same phase, different square = blocking/conversion/tempo)",deep completes +7 more pts this turn (shallow leaves a completion / conversion),margin-only
mp1925000071,1925000071,134,5,endgame,40,22,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000046,1925000046,134,5,endgame,48,10,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000007,1925000007,134,5,endgame,23,22,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000011,1925000011,134,5,endgame,90,19,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000054,1925000054,132,6,endgame,47,21,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000075,1925000075,131,6,endgame,74,11,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000046,1925000046,132,6,endgame,47,10,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000038,1925000038,132,6,endgame,21,25,"[1, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000048,1925000048,132,6,endgame,36,10,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000071,1925000071,132,6,endgame,32,22,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000050,1925000050,132,6,endgame,64,23,"[0, 1]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000055,1925000055,131,6,endgame,48,1,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000020,1925000020,132,6,endgame,43,30,"[1, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000041,1925000041,132,6,endgame,56,22,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000060,1925000060,132,6,endgame,28,6,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000070,1925000070,132,6,endgame,39,8,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000043,1925000043,132,6,endgame,41,12,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000067,1925000067,132,6,endgame,27,5,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000036,1925000036,132,6,endgame,40,4,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",margin-only
mp1925000063,1925000063,80,32,midgame,24,2,"[1, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000079,1925000079,80,32,midgame,40,15,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000087,1925000087,80,32,midgame,39,27,"[1, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000053,1925000053,80,32,midgame,49,3,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000042,1925000042,80,32,midgame,36,6,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000058,1925000058,80,32,midgame,45,19,"[1, 1]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000057,1925000057,78,32,midgame,33,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000004,1925000004,80,32,midgame,27,28,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000047,1925000047,80,32,midgame,60,6,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000068,1925000068,80,32,midgame,24,17,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000017,1925000017,80,32,midgame,48,14,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000020,1925000020,68,38,midgame,20,7,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
