exp_id,date,game,code_rev,n,new_ckpt,new_c,new_cap,new_var,new_sims,old_ckpt,old_c,old_cap,old_var,old_sims,W,L,D,elo,sigma,avg_diff,src_dir,confidence,note
l2_ladder_R3vR2_heurv27s200_vs_heurv1s200_n200,2026-06-18,base,6b5b43f,200,HeuristicMCTS_v2_7,1.5,12,v2_7,200,HeuristicMCTS_v1,1.5,12,v1,200,106,92,2,24.4,24.6,2.365,/mnt/c/carc-shared/level2_ladder/heurv27200__vs__heurv1200,high,"L2-1 ladder R3vR2. heur_v2_7@200 vs heur_v1@200, matched sims/c=1.5. 106W/2D/92L=53.5%=+24.4 elo z=1.68 = COMPRESSED. v2.7 leaf only marginally outranks v1 leaf at fixed 200 sims -> leaf-quality buys little resolvable strength; depth is the real test (R4vR3/R5vR4). 100 paired decks. CL-023."
l2_ladder_R4vR3_heurv27s800_vs_heurv27s200_n200,2026-06-18,base,6b5b43f,200,HeuristicMCTS_v2_7,1.5,12,v2_7,800,HeuristicMCTS_v2_7,1.5,12,v2_7,200,120,77,3,75.9,25.2,4.96,/mnt/c/carc-shared/level2_ladder/heurv27800__vs__heurv27200,high,"L2-1 ladder R4vR3. heur_v2_7@800 (=the production ruler, c=1.5) vs heur_v2_7@200, matched leaf. 120W/3D/77L=60.75%=+75.9 elo z=3.59 = CLEAN. DEPTH 200->800 adds resolvable heur-vs-heur strength (contrast: heurdepth_* saw ~0 for a FIXED-NET opponent). 100 paired decks. CL-023."
l2_ladder_R5vR4_heurv27s1600_vs_heurv27s800_n400,2026-06-18,base,6b5b43f,400,HeuristicMCTS_v2_7,1.5,12,v2_7,1600,HeuristicMCTS_v2_7,1.5,12,v2_7,800,228,165,7,55.2,17.6,3.41,/mnt/c/carc-shared/level2_ladder/heurv271600__vs__heurv27800,high,"L2-1 ladder R5vR4 = SATURATION GATE. heur_v2_7@1600 vs heur_v2_7@800 (=production ruler), matched leaf c=1.5. 228W/7D/165L=57.9%=+55.2 elo z=3.23 (n=400 paired, 200 decks; topped up from n=200 +70.4/z2.23 per pre-registered escalation, z strengthened with n). SATURATION REFUTED: deeper heur search beats the heur@800 ruler => the elo scale has headroom above the production ruler. CL-023."
l2_ladder_R5bvR5_heurv27s3200_vs_heurv27s1600_n200,2026-06-18,base,6b5b43f,200,HeuristicMCTS_v2_7,1.5,12,v2_7,3200,HeuristicMCTS_v2_7,1.5,12,v2_7,1600,110,85,5,43.7,24.8,2.41,/mnt/c/carc-shared/level2_ladder/heurv273200__vs__heurv271600,mid,"L2-1 depth-continuation (R5 def @3200). heur_v2_7@3200 vs @1600, matched leaf c=1.5. 110W/5D/85L=56.25%=+43.7 elo z=1.68 = UNDER-POWERED at n=200 (a +44 gain is ~1.7sigma; z>=2 needs n~400). Point estimate positive + DIMINISHING-returns pattern (depth steps +75.9 -> +55.2 -> +43.7) => headroom likely continues past @1600 but NOT statistically confirmed; returns shrinking. 5800x ran W=20 (thermal). CL-023."
l22_iter8_vs_heur800_v27_s200_n400,2026-06-18,base,efb182c,400,flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7+resid_s0.25,200,HeuristicMCTS,3.0,12,v2_7,800,220,174,6,40.1,17.5,1.6,/mnt/c/carc-shared/level2_l22/iter8_vs_heur800_n400,high,"L2-2 V6 REPRODUCE. iter8 NeuralMCTS@200 (carc-orch SHM eval, both boxes, CY_REPR) vs heur@800-v2.7. 220W/6D/174L=55.7%=+40.1 elo z=2.29 (n=400 paired band 3.1e9). Reproduces the established iter8-vs-heur@800 cell (published +72.2 p2_iter8_*, sealed +58.7) within ~1sigma band-variation (iter8 absolute-vs-heur swings by deck band, CL-018); apparatus+orch path validated. heur opponent actually runs c=1.5 (eval gate's --c-puct hits the net side only). CL-024."
l22_iter8_vs_heur1600_v27_s200_n400,2026-06-19,base,efb182c,400,flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7+resid_s0.25,200,HeuristicMCTS,3.0,12,v2_7,1600,217,177,6,34.9,17.5,2.0,/mnt/c/carc-shared/level2_l22/iter8_vs_heur1600_n400,high,"L2-2 iter8 vs the DEEPER validated rung. iter8 NeuralMCTS@200 (carc-orch SHM eval, both boxes) vs heur@1600-v2.7. 217W/6D/177L=55.0%=+34.9 elo z=2.0 (n=400 paired band 3.11e9). iter8 BEATS heur@1600 too, ~same margin as vs heur@800 (+40). ⚠️ NON-TRANSITIVE vs L1 heur@1600-vs-heur@800 +55.2 (CL-023): elo-composition predicts iter8<heur@1600 by ~15, measured +35 => ~50elo intransitivity. Different bands -> same-band control (band 3.10e9) pending before declaring real non-transitivity. CL-024."
l22_ctrl_iter8_vs_heur1600_b310_n400,2026-06-19,base,efb182c,400,flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7+resid_s0.25,200,HeuristicMCTS,3.0,12,v2_7,1600,213,185,2,24.4,17.4,1.0,/mnt/c/carc-shared/level2_l22/iter8_vs_heur1600_b310_n400,high,"TRANSITIVITY CONTROL C1. iter8 NeuralMCTS@200 (orch SHM eval) vs heur@1600-v2.7 on band 3.10e9 = SAME decks as iter8-vs-heur@800 (l22_iter8_vs_heur800_*). 213W/2D/185L=+24.4 elo z=1.40. With iter8-vs-h800 +40.1 and C2 h1600-vs-h800 +20.0 (all band 3.10): transitivity HOLDS (40.1-20.0=20.1 predicted vs +24.4 measured, dz~0.3). The L2-2 ~50elo non-transitivity (different bands) was BAND-VARIANCE. CL-024."
l22_ctrl_heur1600_vs_heur800_b310_n400,2026-06-19,base,efb182c,400,HeuristicMCTS,1.5,12,v2_7,1600,HeuristicMCTS,1.5,12,v2_7,800,208,185,7,20.0,17.4,3.285,/mnt/c/carc-shared/level2_l22/heur1600_vs_heur800_b310,high,"TRANSITIVITY CONTROL C2 + band-replication of CL-023 R5vR4. heur@1600 vs heur@800 (pure-CPU ladder, c=1.5) on band 3.10e9 = +20.0 elo z=3.21. vs L1 band 3.04 +55.2/z3.23 => saturation refutation REPLICATES on a 2nd band (z3.21, h1600>h800 robust) but magnitude BAND-SWINGS +55->+20 (~35elo). Closes the transitivity test: on shared band-3.10 decks the elo scale is TRANSITIVE; the L2-2 apparent non-transitivity was cross-band artifact. CL-024."
l2_ladder_R5bvR5_heurv27s3200_vs_heurv27s1600_n400,2026-06-19,base,efb182c,400,HeuristicMCTS,1.5,12,v2_7,3200,HeuristicMCTS,1.5,12,v2_7,1600,217,177,6,34.9,17.5,2.3775,/mnt/c/carc-shared/level2_ladder/heurv273200__vs__heurv271600,high,"L2-1 depth-continuation TOP-UP to n=400 (band 3.06e9). heur_v2_7@3200 vs @1600 = +34.9 elo z=2.36 = CLEAN (resolves the n=200 +43.7/z1.68 under-power; point est dropped +43.7->+34.9 but z strengthened 1.68->2.36, same pattern as R5vR4). => DEPTH HEADROOM CONTINUES past @1600 (each step significant) with DIMINISHING returns: depth doublings +75.9 -> +55.2 -> +34.9. 5800x W24 + laptop W8. CL-023."
l22_orchoff_iter8_vs_heur800_b310_n400,2026-06-19,base,efb182c,400,flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7+resid_s0.25,200,HeuristicMCTS,3.0,12,v2_7,800,220,174,6,40.1,17.5,1.7,/mnt/c/carc-shared/level2_l22/orchoff_iter8_vs_heur800_b310,high,"MEASUREMENT-INTEGRITY A/B. iter8 vs heur@800 band 3.10 via the HISTORICAL path (orch-OFF W14, NO CY_REPR). 220W/6D/174L=+40.1 = BIT-IDENTICAL to the orch+CY run (l22_iter8_vs_heur800_*, also 220/6/174/+40.1). => orch+CY eval path = ZERO bias; L2-2 numbers fully comparable to historical. CORRECTS the overnight '±30-35 band-variance' OVER-STATEMENT: orch+CY=orch-off exactly, so the fresh-vs-historical +45-vs-+58/72 gap is just different-deck sampling; 5-band observed sigma~11 <= n=400 noise sigma17.5 => NO band effect beyond standard paired noise; even h1600-vs-h800 +55/+20 is only 1.4sigma. The real caveat is just n=400 measurement noise (fix=larger n), NOT a separate band-variance effect. CL-024."
l22_iter8_vs_heur3200_b310_n400,2026-06-19,base,efb182c,400,flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7+resid_s0.25,200,HeuristicMCTS,3.0,12,v2_7,3200,180,213,7,-28.7,17.4,-0.85,/mnt/c/carc-shared/level2_l22/iter8_vs_heur3200_b310_n400,high,"Joshua #8: same-band (3.10e9) completion of the iter8-vs-heur ladder. iter8 NeuralMCTS@200 vs heur@3200-v2.7 (orch, laptop). 180W/7D/213L=45.9%=-28.7 elo; paired-margin z=-0.70 (TIE on margin), winrate z~-1.65 (iter8 loses MORE games by small margins). => iter8 does NOT beat heur@3200. Completes the MONOTONE same-band trend: iter8 vs h800 +40.1/z2.29, h1600 +24.4/z1.40, h3200 -28.7/z-0.70 -- iter8 margin shrinks with heur depth, ERASED by the deepest heuristic. Consistent w/ L2-3 (heur@3200 most endgame-precise). Separate from the regret verdict (Joshua #7). CL-024."
l2hyb_K2h3200_vs_iter8_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK2@3200,3.0,12,hybridK2_handoff,200,iter8.pt,3.0,12,v2_7,200,97,95,8,3.5,24.6,0.36,/mnt/c/carc-shared/level2_hybrid/hybridK2h3200__vs__iter8_b340_n200,med,"hybrid-handoff Phase1: iter8 policy until k_remaining<=2 then heur@3200. paired_z=+2.65. beats iter8 on margin."
l2hyb_K3h3200_vs_iter8_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK3@3200,3.0,12,hybridK3_handoff,200,iter8.pt,3.0,12,v2_7,200,96,96,8,0.0,24.6,0.25,/mnt/c/carc-shared/level2_hybrid/hybridK3h3200__vs__iter8_b340_n200,med,"hybrid-handoff Phase1: K<=3. paired_z=+1.18 (below 1.5 gate)."
l2hyb_K5h3200_vs_iter8_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK5@3200,3.0,12,hybridK5_handoff,200,iter8.pt,3.0,12,v2_7,200,100,94,6,10.4,24.6,0.80,/mnt/c/carc-shared/level2_hybrid/hybridK5h3200__vs__iter8_b340_n200,med,"hybrid-handoff Phase1: K<=5. paired_z=+3.45 (n=200). n=400 topup FINAL: margin +0.90 paired_z=+6.23 (reproduced)."
l2hyb_K8h3200_vs_iter8_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK8@3200,3.0,12,hybridK8_handoff,200,iter8.pt,3.0,12,v2_7,200,103,91,6,20.9,24.6,1.36,/mnt/c/carc-shared/level2_hybrid/hybridK8h3200__vs__iter8_b340_n200,high,"hybrid-handoff Phase1: K<=8 strongest. paired_z=+4.68 (n=200). n=400 topup FINAL: margin +1.32 paired_z=+5.79 (reproduced)."
l2hyb_K5h800_vs_iter8_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK5@800,3.0,12,hybridK5_handoff_h800,200,iter8.pt,3.0,12,v2_7,200,101,94,5,12.2,24.6,0.60,/mnt/c/carc-shared/level2_hybrid/hybridK5h800__vs__iter8_b340_n200,med,"hybrid-handoff Phase1 compute-sanity: K<=5 with heur@800 endgame. paired_z=+2.89. cheap heur captures most of the gain."
l2hyb_K5h3200_vs_heur3200_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK5@3200,3.0,12,hybridK5_handoff,200,heur@3200,3.0,12,v2_7,3200,94,102,4,-13.9,24.6,-0.43,/mnt/c/carc-shared/level2_hybrid/hybridK5h3200__vs__heur3200_b340_n200,med,"hybrid-handoff Phase2 champion-check: hybrid:5 vs heur@3200. paired_z=-0.30 (tie/slight loss). LOSES to deep heuristic -> gap-closing not champion."
l2hyb_K8h3200_vs_heur3200_b340_n200,2026-06-19,base,d654082,200,iter8.pt+hybridK8@3200,3.0,12,hybridK8_handoff,200,heur@3200,3.0,12,v2_7,3200,92,103,5,-19.1,24.6,-0.76,/mnt/c/carc-shared/level2_hybrid/hybridK8h3200__vs__heur3200_b340_n200,med,"hybrid-handoff Phase2 champion-check: hybrid:8 vs heur@3200. paired_z=-0.51 (tie/slight loss). vs iter8's -28.7: gap-closing, NOT a new champion. deep heuristic strongest."
